What is your current primary occupation?;How often are you required to speak in public, lead meetings, or attend formal interviews?;On a scale of 1 to 5, how much stress or anxiety do you typically experience before and during these events?;During a high-stress presentation, which of the following physical or cognitive symptoms do you experience most frequently?;How accurately do you feel you can perceive your own speaking pace and body language in real-time while under pressure?;Have you ever received feedback (or watched a recording of yourself) and realized you performed differently than you felt at the time (e.g., spoke much faster or fidgeted without noticing)?;If you were to use a digital tool to help you pace yourself during a speech, what would be your biggest concern?;If a system could warn you that you are speaking too fast, which type of real-time feedback would you find the least distracting?;How do you currently review or evaluate your presentations to improve for the future?;"Would you find it valuable to log into a Dashboard after your speech to review a ""timeline"" correlating your physiological stress (e.g., heart rate spikes) with your speaking pace?"
University Student;A few times a year;5;"Rapid heartbeat (Palpitations);Speaking significantly faster than normal;Fidgeting, hand tremors, or erratic gesturing;Voice shaking";2;Sometimes;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I try to remember what went wrong;Yes, visualizing the data might help me identify my specific triggers.
University Student;A few times a year;4;"Rapid heartbeat (Palpitations);Voice shaking;Temporary mind blanks";2;Often;Having to break eye contact with the audience/camera to look at a screen.;A visual indicator (e.g., a flashing light on a laptop screen).;I don't review them;Yes, visualizing the data might help me identify my specific triggers.
Corporate Employee;1-2 times a month;3;"Speaking significantly faster than normal;Excessive sweating";3;Sometimes;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I ask colleagues/friends for feedback;Indifferent.
Manager or Executive;Multiple times a week;1;Fidgeting, hand tremors, or erratic gesturing;5;Rarely;The tool distracting my train of thought.;An audio cue (e.g., a beep in an earpiece).;I record video/audio of myself;Yes, visualizing the data might help me identify my specific triggers.
High school Student;Rarely;5;"Rapid heartbeat (Palpitations);Excessive sweating;Temporary mind blanks;Gastrointestinal discomfort (e.g., stomach cramps, nausea, or sudden urgency).";1;Often;Having to break eye contact with the audience/camera to look at a screen.;A visual indicator (e.g., a flashing light on a laptop screen).;I try to remember what went wrong;No, it would make me overthink.
Recent Graduate;1-2 times a month;4;"Speaking significantly faster than normal;Voice shaking";2;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I ask colleagues/friends for feedback;Yes, visualizing the data might help me identify my specific triggers.
Other;Rarely;2;Fidgeting, hand tremors, or erratic gesturing;4;Never;Setting it up before the speech.;An audio cue (e.g., a beep in an earpiece).;I don't review them;Indifferent.
University Student;A few times a year;3;"Rapid heartbeat (Palpitations);Fidgeting, hand tremors, or erratic gesturing";3;Sometimes;The audience noticing I am using an aid.;A visual indicator (e.g., a flashing light on a laptop screen).;I try to remember what went wrong;Yes, visualizing the data might help me identify my specific triggers.
Corporate Employee;Multiple times a week;3;"Speaking significantly faster than normal;Excessive sweating";4;Sometimes;The tool distracting my train of thought.;A discreet physical sensation (e.g., a silent vibration).;I record video/audio of myself;Indifferent.
Manager or Executive;Multiple times a week;2;Voice shaking;5;Rarely;Setting it up before the speech.;An audio cue (e.g., a beep in an earpiece).;I ask colleagues/friends for feedback;Yes, visualizing the data might help me identify my specific triggers.
Recent Graduate;A few times a year;5;"Rapid heartbeat (Palpitations);Voice shaking;Temporary mind blanks;Gastrointestinal discomfort (e.g., stomach cramps, nausea, or sudden urgency).";1;Often;Having to break eye contact with the audience/camera to look at a screen.;A visual indicator (e.g., a flashing light on a laptop screen).;I try to remember what went wrong;No, it would make me overthink.
University Student;A few times a year;3;"Speaking significantly faster than normal;Excessive sweating;Gastrointestinal discomfort (e.g., stomach cramps, nausea, or sudden urgency).";3;Sometimes;The tool distracting my train of thought.;A discreet physical sensation (e.g., a silent vibration).;I ask colleagues/friends for feedback;Yes, visualizing the data might help me identify my specific triggers.
University Student;1-2 times a month;4;"Rapid heartbeat (Palpitations);Speaking significantly faster than normal;Fidgeting, hand tremors, or erratic gesturing";1;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I try to remember what went wrong;Yes, visualizing the data might help me identify my specific triggers.
University Student;A few times a year;5;"Rapid heartbeat (Palpitations);Fidgeting, hand tremors, or erratic gesturing;Voice shaking";1;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I don't review them;Yes, visualizing the data might help me identify my specific triggers.
Recent Graduate;1-2 times a month;4;"Rapid heartbeat (Palpitations);Fidgeting, hand tremors, or erratic gesturing;Excessive sweating";2;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I try to remember what went wrong;Yes, visualizing the data might help me identify my specific triggers.
Corporate Employee;1-2 times a month;5;"Rapid heartbeat (Palpitations);Fidgeting, hand tremors, or erratic gesturing;Temporary mind blanks";1;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I don't review them;Yes, visualizing the data might help me identify my specific triggers.
High school Student;Rarely;4;"Rapid heartbeat (Palpitations);Fidgeting, hand tremors, or erratic gesturing;Voice shaking";2;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I try to remember what went wrong;Yes, visualizing the data might help me identify my specific triggers.
Other;A few times a year;5;"Rapid heartbeat (Palpitations);Fidgeting, hand tremors, or erratic gesturing;Excessive sweating;Temporary mind blanks";1;Often;The audience noticing I am using an aid.;A discreet physical sensation (e.g., a silent vibration).;I don't review them;Yes, visualizing the data might help me identify my specific triggers.
